PID, TurnAround Time, Penalty Ratio, Waiting Time
0, 773.000000, 4.068421, 583.000000
1, 2072.000000, 7.144828, 1782.000000
2, 1053.000000, 3.900000, 783.000000
3, 1675.000000, 10.468750, 1515.000000
4, 481.000000, 3.848000, 356.000000
5, 2069.000000, 5.502660, 1693.000000
6, 938.000000, 4.466667, 728.000000
7, 6.000000, 1.000000, 0.000000
8, 82.000000, 8.200000, 72.000000
9, 1506.000000, 15.060000, 1406.000000
10, 18.000000, 2.571429, 11.000000
11, 1633.000000, 4.733333, 1288.000000
